DateTime,Buyopen,Buyhigh,Buylow,Buyclose
2016-12-26 18:00:00,1.04526,1.04544,1.04521,1.04536
2016-12-26 18:05:00,1.04536,1.04552,1.04527,1.04541
2016-12-26 18:10:00,1.04542,1.04545,1.04515,1.04515
2016-12-26 18:15:00,1.04515,1.0455,1.04515,1.04525
2016-12-26 18:20:00,1.04525,1.04565,1.04515,1.04541
2016-12-26 18:25:00,1.04537,1.04561,1.04536,1.04536
2016-12-26 18:30:00,1.04534,1.04543,1.04504,1.04506
2016-12-26 18:35:00,1.04505,1.04513,1.04497,1.04512
2016-12-26 18:40:00,1.04513,1.04514,1.04507,1.04513
2016-12-26 18:45:00,1.04514,1.04531,1.04511,1.04523
2016-12-26 18:50:00,1.04516,1.04533,1.04512,1.04524
2016-12-26 18:55:00,1.04526,1.04543,1.0452,1.04535
2016-12-26 19:00:00,1.04537,1.04551,1.04513,1.04532
2016-12-26 19:05:00,1.04531,1.04531,1.04486,1.04489
2016-12-26 19:10:00,1.04491,1.04504,1.04488,1.04501
2016-12-26 19:15:00,1.04501,1.04502,1.04491,1.04501
2016-12-26 19:20:00,1.04501,1.04516,1.04497,1.04516
2016-12-26 19:25:00,1.04517,1.04522,1.04497,1.04519
2016-12-26 19:30:00,1.0452,1.04529,1.04517,1.04517
2016-12-26 19:35:00,1.04516,1.04524,1.04503,1.04508
2016-12-26 19:40:00,1.0451,1.04511,1.04484,1.04484
2016-12-26 19:45:00,1.04485,1.04514,1.0447,1.04499
2016-12-26 19:50:00,1.04496,1.04532,1.04484,1.04484
2016-12-26 19:55:00,1.04474,1.04486,1.0445,1.04454
2016-12-26 20:00:00,1.04454,1.04476,1.04454,1.04465
2016-12-26 20:05:00,1.04465,1.04485,1.04458,1.0448
2016-12-26 20:10:00,1.04481,1.04515,1.04467,1.04486
2016-12-26 20:15:00,1.04485,1.04486,1.044,1.04409
2016-12-26 20:20:00,1.04409,1.04421,1.04399,1.044
2016-12-26 20:25:00,1.04399,1.04427,1.04388,1.04423
2016-12-26 20:30:00,1.04428,1.04442,1.04375,1.04386
2016-12-26 20:35:00,1.04387,1.04408,1.04366,1.04403
2016-12-26 20:40:00,1.04412,1.04434,1.04407,1.04415
2016-12-26 20:45:00,1.04414,1.04431,1.04409,1.04424
2016-12-26 20:50:00,1.04423,1.04432,1.0439,1.04396
2016-12-26 20:55:00,1.04396,1.04401,1.04322,1.04339
2016-12-26 21:00:00,1.0434,1.04353,1.0433,1.04343
2016-12-26 21:05:00,1.04344,1.04351,1.04334,1.04344
2016-12-26 21:10:00,1.04344,1.04366,1.04333,1.04366
2016-12-26 21:15:00,1.04365,1.04376,1.04347,1.04351
2016-12-26 21:20:00,1.04352,1.04362,1.04324,1.04355
2016-12-26 21:25:00,1.04355,1.0436,1.04338,1.04356
2016-12-26 21:30:00,1.04357,1.0436,1.0434,1.04356
2016-12-26 21:35:00,1.04358,1.04359,1.04345,1.04351
2016-12-26 21:40:00,1.0435,1.04356,1.04342,1.04353
2016-12-26 21:45:00,1.0435,1.04352,1.0434,1.04345
2016-12-26 21:50:00,1.04348,1.04355,1.04331,1.04347
2016-12-26 21:55:00,1.04346,1.04373,1.04336,1.04373
2016-12-26 22:00:00,1.04374,1.04393,1.04373,1.04384
2016-12-26 22:05:00,1.04384,1.04396,1.04371,1.04376
2016-12-26 22:10:00,1.04377,1.04384,1.04349,1.04378
2016-12-26 22:15:00,1.04377,1.04388,1.0434,1.0436
2016-12-26 22:20:00,1.04361,1.04369,1.04344,1.04367
2016-12-26 22:25:00,1.04366,1.04373,1.04357,1.04363
2016-12-26 22:30:00,1.04365,1.04378,1.04354,1.04371
2016-12-26 22:35:00,1.04371,1.04375,1.04361,1.04371
2016-12-26 22:40:00,1.0437,1.0437,1.04353,1.04357
2016-12-26 22:45:00,1.04358,1.04362,1.04354,1.0436
2016-12-26 22:50:00,1.04361,1.04368,1.04336,1.04363
2016-12-26 22:55:00,1.04362,1.04379,1.04355,1.0436
2016-12-26 23:00:00,1.04364,1.04382,1.04362,1.04377
2016-12-26 23:05:00,1.04376,1.04377,1.04343,1.04361
2016-12-26 23:10:00,1.04361,1.04387,1.04359,1.04384
2016-12-26 23:15:00,1.04383,1.04383,1.04361,1.04374
2016-12-26 23:20:00,1.04373,1.04401,1.04371,1.04399
2016-12-26 23:25:00,1.044,1.04403,1.04381,1.04393
